season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2024,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2024-03-02,15:00:00Z
2024,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2024-03-09,17:00:00Z
2024,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2024-03-24,04:00:00Z
2024,4,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2024-04-07,05:00:00Z
2024,5,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2024-04-21,07:00:00Z
2024,6,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,2024-05-05,20:00:00Z
2024,7,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2024-05-19,13:00:00Z
2024,8,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2024-05-26,13:00:00Z
2024,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2024-06-09,18:00:00Z
2024,10,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2024-06-23,13:00:00Z
2024,11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2024-06-30,13:00:00Z
2024,12,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2024-07-07,14:00:00Z
2024,13,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2024-07-21,13:00:00Z
2024,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2024-07-28,13:00:00Z
2024,15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2024-08-25,13:00:00Z
2024,16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2024-09-01,13:00:00Z
2024,17,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2024-09-15,11:00:00Z
2024,18,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2024-09-22,12:00:00Z
2024,19,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2024-10-20,19:00:00Z
2024,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2024-10-27,20:00:00Z
2024,21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2024-11-03,17:00:00Z
2024,22,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,2024-11-23,06:00:00Z
2024,23,Qatar Grand Prix,losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542,2024-12-01,16:00:00Z
2024,24,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2024-12-08,13:00:00Z
