season,position,driverId,points,wins,constructorId
2004,1,michael_schumacher,148,13,ferrari
2004,2,barrichello,114,2,ferrari
2004,3,button,85,0,bar
2004,4,alonso,59,0,renault
2004,5,montoya,58,1,williams
2004,6,trulli,46,1,renault
2004,7,raikkonen,45,1,mclaren
2004,8,sato,34,0,bar
2004,9,ralf_schumacher,24,0,williams
2004,10,coulthard,24,0,mclaren
2004,11,fisichella,22,0,sauber
2004,12,massa,12,0,sauber
2004,13,webber,7,0,jaguar
2004,14,panis,6,0,toyota
2004,15,pizzonia,6,0,williams
2004,16,klien,3,0,jaguar
2004,17,matta,3,0,toyota
2004,18,heidfeld,3,0,jordan
2004,19,glock,2,0,jordan
2004,20,baumgartner,1,0,minardi
2004,21,villeneuve,0,0,renault
2004,22,zonta,0,0,toyota
2004,23,gene,0,0,williams
2004,24,pantano,0,0,jordan
2004,25,bruni,0,0,minardi
