season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2002,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2002-03-03,
2002,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,2002-03-17,
2002,3,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2002-03-31,
2002,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2002-04-14,
2002,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2002-04-28,
2002,6,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2002-05-12,
2002,7,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2002-05-26,
2002,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2002-06-09,
2002,9,European Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,2002-06-23,
2002,10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2002-07-07,
2002,11,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,2002-07-21,
2002,12,German Grand Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,2002-07-28,
2002,13,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2002-08-18,
2002,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2002-09-01,
2002,15,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2002-09-15,
2002,16,United States Grand Prix,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,2002-09-29,
2002,17,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2002-10-13,
