season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2013,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2013-03-17,06:00:00Z
2013,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,2013-03-24,08:00:00Z
2013,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2013-04-14,07:00:00Z
2013,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2013-04-21,12:00:00Z
2013,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2013-05-12,12:00:00Z
2013,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2013-05-26,12:00:00Z
2013,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2013-06-09,18:00:00Z
2013,8,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2013-06-30,12:00:00Z
2013,9,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,2013-07-07,12:00:00Z
2013,10,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2013-07-28,12:00:00Z
2013,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2013-08-25,12:00:00Z
2013,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2013-09-08,12:00:00Z
2013,13,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2013-09-22,12:00:00Z
2013,14,Korean Grand Prix,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,2013-10-06,06:00:00Z
2013,15,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2013-10-13,06:00:00Z
2013,16,Indian Grand Prix,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,2013-10-27,09:30:00Z
2013,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2013-11-03,13:00:00Z
2013,18,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2013-11-17,19:00:00Z
2013,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2013-11-24,16:00:00Z
