season,position,driverId,points,wins,constructorId
2000,1,michael_schumacher,108,9,ferrari
2000,2,hakkinen,89,4,mclaren
2000,3,coulthard,73,3,mclaren
2000,4,barrichello,62,1,ferrari
2000,5,ralf_schumacher,24,0,williams
2000,6,fisichella,18,0,benetton
2000,7,villeneuve,17,0,bar
2000,8,button,12,0,williams
2000,9,frentzen,11,0,jordan
2000,10,trulli,6,0,jordan
2000,11,salo,6,0,sauber
2000,12,verstappen,5,0,arrows
2000,13,irvine,4,0,jaguar
2000,14,zonta,3,0,bar
2000,15,wurz,2,0,benetton
2000,16,rosa,2,0,arrows
2000,-,herbert,0,0,jaguar
2000,-,diniz,0,0,sauber
2000,-,gene,0,0,minardi
2000,-,heidfeld,0,0,prost
2000,-,mazzacane,0,0,minardi
2000,-,alesi,0,0,prost
2000,-,burti,0,0,jaguar
