season,position,driverId,points,wins,constructorId
2023,1,max_verstappen,575,19,red_bull
2023,2,perez,285,2,red_bull
2023,3,hamilton,234,0,mercedes
2023,4,alonso,206,0,aston_martin
2023,5,leclerc,206,0,ferrari
2023,6,norris,205,0,mclaren
2023,7,sainz,200,1,ferrari
2023,8,russell,175,0,mercedes
2023,9,piastri,97,0,mclaren
2023,10,stroll,74,0,aston_martin
2023,11,gasly,62,0,alpine
2023,12,ocon,58,0,alpine
2023,13,albon,27,0,williams
2023,14,tsunoda,17,0,alphatauri
2023,15,bottas,10,0,alfa
2023,16,hulkenberg,9,0,haas
2023,17,ricciardo,6,0,alphatauri
2023,18,zhou,6,0,alfa
2023,19,kevin_magnussen,3,0,haas
2023,20,lawson,2,0,alphatauri
2023,21,sargeant,1,0,williams
2023,22,de_vries,0,0,alphatauri
