season,position,driverId,points,wins,constructorId
2011,1,vettel,392,11,red_bull
2011,2,button,270,3,mclaren
2011,3,webber,258,1,red_bull
2011,4,alonso,257,1,ferrari
2011,5,hamilton,227,3,mclaren
2011,6,massa,118,0,ferrari
2011,7,rosberg,89,0,mercedes
2011,8,michael_schumacher,76,0,mercedes
2011,9,sutil,42,0,force_india
2011,10,petrov,37,0,renault
2011,11,heidfeld,34,0,renault
2011,12,kobayashi,30,0,sauber
2011,13,resta,27,0,force_india
2011,14,alguersuari,26,0,toro_rosso
2011,15,buemi,15,0,toro_rosso
2011,16,perez,14,0,sauber
2011,17,barrichello,4,0,williams
2011,18,bruno_senna,2,0,renault
2011,19,maldonado,1,0,williams
2011,20,rosa,0,0,sauber
2011,21,trulli,0,0,lotus_racing
2011,22,kovalainen,0,0,lotus_racing
2011,23,liuzzi,0,0,hrt
2011,24,ambrosio,0,0,virgin
2011,25,glock,0,0,virgin
2011,26,karthikeyan,0,0,hrt
2011,27,ricciardo,0,0,hrt
2011,28,chandhok,0,0,lotus_racing
