season,position,driverId,points,wins,constructorId
2015,1,hamilton,381,10,mercedes
2015,2,rosberg,322,6,mercedes
2015,3,vettel,278,3,ferrari
2015,4,raikkonen,150,0,ferrari
2015,5,bottas,136,0,williams
2015,6,massa,121,0,williams
2015,7,kvyat,95,0,red_bull
2015,8,ricciardo,92,0,red_bull
2015,9,perez,78,0,force_india
2015,10,hulkenberg,58,0,force_india
2015,11,grosjean,51,0,lotus_f1
2015,12,max_verstappen,49,0,toro_rosso
2015,13,nasr,27,0,sauber
2015,14,maldonado,27,0,lotus_f1
2015,15,sainz,18,0,toro_rosso
2015,16,button,16,0,mclaren
2015,17,alonso,11,0,mclaren
2015,18,ericsson,9,0,sauber
2015,19,merhi,0,0,manor
2015,20,rossi,0,0,manor
2015,21,stevens,0,0,manor
2015,-,kevin_magnussen,0,0,mclaren
