season,position,driverId,points,wins,constructorId
2012,1,vettel,281,5,red_bull
2012,2,alonso,278,3,ferrari
2012,3,raikkonen,207,1,lotus_f1
2012,4,hamilton,190,4,mclaren
2012,5,button,188,3,mclaren
2012,6,webber,179,2,red_bull
2012,7,massa,122,0,ferrari
2012,8,grosjean,96,0,lotus_f1
2012,9,rosberg,93,1,mercedes
2012,10,perez,66,0,sauber
2012,11,hulkenberg,63,0,force_india
2012,12,kobayashi,60,0,sauber
2012,13,michael_schumacher,49,0,mercedes
2012,14,resta,46,0,force_india
2012,15,maldonado,45,1,williams
2012,16,bruno_senna,31,0,williams
2012,17,vergne,16,0,toro_rosso
2012,18,ricciardo,10,0,toro_rosso
2012,19,petrov,0,0,caterham
2012,20,glock,0,0,marussia
2012,21,pic,0,0,marussia
2012,22,kovalainen,0,0,caterham
2012,23,ambrosio,0,0,lotus_f1
2012,24,karthikeyan,0,0,hrt
2012,25,rosa,0,0,hrt
