season,round,circuitId,driverId,position,grid,points,laps,status,fastestLapRank
2021,1,bahrain,hamilton,1,2,25,56,Finished,4
2021,1,bahrain,max_verstappen,2,1,18,56,Finished,2
2021,1,bahrain,bottas,3,3,16,56,Finished,1
2021,1,bahrain,norris,4,7,12,56,Finished,6
2021,1,bahrain,perez,5,0,10,56,Finished,3
2021,1,bahrain,leclerc,6,4,8,56,Finished,11
2021,1,bahrain,ricciardo,7,6,6,56,Finished,10
2021,1,bahrain,sainz,8,8,4,56,Finished,7
2021,1,bahrain,tsunoda,9,13,2,56,Finished,8
2021,1,bahrain,stroll,10,10,1,56,Finished,9
2021,1,bahrain,raikkonen,11,14,0,56,Finished,14
2021,1,bahrain,giovinazzi,12,12,0,55,+1 Lap,13
2021,1,bahrain,ocon,13,16,0,55,+1 Lap,15
2021,1,bahrain,russell,14,15,0,55,+1 Lap,12
2021,1,bahrain,vettel,15,20,0,55,+1 Lap,16
2021,1,bahrain,mick_schumacher,16,18,0,55,+1 Lap,18
2021,1,bahrain,gasly,17,5,0,52,Retired,5
2021,1,bahrain,latifi,18,17,0,51,Retired,19
2021,1,bahrain,alonso,19,9,0,32,Brakes,17
2021,1,bahrain,mazepin,20,19,0,0,Accident,
2021,2,imola,max_verstappen,1,3,25,63,Finished,2
2021,2,imola,hamilton,2,1,19,63,Finished,1
2021,2,imola,norris,3,7,15,63,Finished,3
2021,2,imola,leclerc,4,4,12,63,Finished,6
2021,2,imola,sainz,5,11,10,63,Finished,7
2021,2,imola,ricciardo,6,6,8,63,Finished,12
2021,2,imola,gasly,7,5,6,63,Finished,9
2021,2,imola,stroll,8,10,4,63,Finished,8
2021,2,imola,ocon,9,9,2,63,Finished,15
2021,2,imola,alonso,10,15,1,63,Finished,14
2021,2,imola,perez,11,2,0,63,Finished,13
2021,2,imola,tsunoda,12,20,0,63,Finished,4
2021,2,imola,raikkonen,13,16,0,63,Finished,5
2021,2,imola,giovinazzi,14,17,0,62,+1 Lap,16
2021,2,imola,vettel,15,0,0,61,Gearbox,10
2021,2,imola,mick_schumacher,16,18,0,61,+2 Laps,11
2021,2,imola,mazepin,17,19,0,61,+2 Laps,17
2021,2,imola,bottas,18,8,0,30,Collision,19
2021,2,imola,russell,19,12,0,30,Collision,18
2021,2,imola,latifi,20,14,0,0,Collision,
2021,3,portimao,hamilton,1,2,25,66,Finished,4
2021,3,portimao,max_verstappen,2,3,18,66,Finished,3
2021,3,portimao,bottas,3,1,16,66,Finished,1
2021,3,portimao,perez,4,4,12,66,Finished,2
2021,3,portimao,norris,5,7,10,66,Finished,7
2021,3,portimao,leclerc,6,8,8,66,Finished,6
2021,3,portimao,ocon,7,6,6,66,Finished,8
2021,3,portimao,alonso,8,13,4,66,Finished,5
2021,3,portimao,ricciardo,9,16,2,66,Finished,10
2021,3,portimao,gasly,10,9,1,66,Finished,11
2021,3,portimao,sainz,11,5,0,66,Finished,14
2021,3,portimao,giovinazzi,12,12,0,65,+1 Lap,13
2021,3,portimao,vettel,13,10,0,65,+1 Lap,15
2021,3,portimao,stroll,14,17,0,65,+1 Lap,9
2021,3,portimao,tsunoda,15,14,0,65,+1 Lap,12
2021,3,portimao,russell,16,11,0,65,+1 Lap,16
2021,3,portimao,mick_schumacher,17,19,0,64,+2 Laps,17
2021,3,portimao,latifi,18,18,0,64,+2 Laps,18
2021,3,portimao,mazepin,19,20,0,64,+2 Laps,19
2021,3,portimao,raikkonen,20,15,0,1,Collision damage,
2021,4,catalunya,hamilton,1,1,25,66,Finished,5
2021,4,catalunya,max_verstappen,2,2,19,66,Finished,1
2021,4,catalunya,bottas,3,3,15,66,Finished,2
2021,4,catalunya,leclerc,4,4,12,66,Finished,4
2021,4,catalunya,perez,5,8,10,66,Finished,3
2021,4,catalunya,ricciardo,6,7,8,66,Finished,10
2021,4,catalunya,sainz,7,6,6,66,Finished,9
2021,4,catalunya,norris,8,9,4,65,+1 Lap,7
2021,4,catalunya,ocon,9,5,2,65,+1 Lap,18
2021,4,catalunya,gasly,10,12,1,65,+1 Lap,8
2021,4,catalunya,stroll,11,11,0,65,+1 Lap,11
2021,4,catalunya,raikkonen,12,17,0,65,+1 Lap,15
2021,4,catalunya,vettel,13,13,0,65,+1 Lap,14
2021,4,catalunya,russell,14,15,0,65,+1 Lap,17
2021,4,catalunya,giovinazzi,15,14,0,65,+1 Lap,13
2021,4,catalunya,latifi,16,19,0,65,+1 Lap,16
2021,4,catalunya,alonso,17,10,0,65,+1 Lap,6
2021,4,catalunya,mick_schumacher,18,18,0,64,+2 Laps,12
2021,4,catalunya,mazepin,19,20,0,64,+2 Laps,19
2021,4,catalunya,tsunoda,20,16,0,6,Electrical,20
2021,5,monaco,max_verstappen,1,2,25,78,Finished,6
2021,5,monaco,sainz,2,4,18,78,Finished,5
2021,5,monaco,norris,3,5,15,78,Finished,7
2021,5,monaco,perez,4,9,12,78,Finished,3
2021,5,monaco,vettel,5,8,10,78,Finished,11
2021,5,monaco,gasly,6,6,8,78,Finished,14
2021,5,monaco,hamilton,7,7,7,78,Finished,1
2021,5,monaco,stroll,8,13,4,77,+1 Lap,8
2021,5,monaco,ocon,9,11,2,77,+1 Lap,12
2021,5,monaco,giovinazzi,10,10,1,77,+1 Lap,13
2021,5,monaco,raikkonen,11,14,0,77,+1 Lap,9
2021,5,monaco,ricciardo,12,12,0,77,+1 Lap,4
2021,5,monaco,alonso,13,17,0,77,+1 Lap,10
2021,5,monaco,russell,14,15,0,77,+1 Lap,15
2021,5,monaco,latifi,15,18,0,77,+1 Lap,16
2021,5,monaco,tsunoda,16,16,0,77,+1 Lap,2
2021,5,monaco,mazepin,17,19,0,75,+3 Laps,19
2021,5,monaco,mick_schumacher,18,20,0,75,+3 Laps,18
2021,5,monaco,bottas,19,3,0,29,Wheel nut,17
2021,5,monaco,leclerc,20,1,0,0,Driveshaft,
2021,6,baku,perez,1,6,25,51,Finished,2
2021,6,baku,vettel,2,11,18,51,Finished,4
2021,6,baku,gasly,3,4,15,51,Finished,6
2021,6,baku,leclerc,4,1,12,51,Finished,8
2021,6,baku,norris,5,9,10,51,Finished,7
2021,6,baku,alonso,6,8,8,51,Finished,11
2021,6,baku,tsunoda,7,7,6,51,Finished,5
2021,6,baku,sainz,8,5,4,51,Finished,13
2021,6,baku,ricciardo,9,13,2,51,Finished,14
