season,position,driverId,points,wins,constructorId
2010,1,vettel,256,5,red_bull
2010,2,alonso,252,5,ferrari
2010,3,webber,242,4,red_bull
2010,4,hamilton,240,3,mclaren
2010,5,button,214,2,mclaren
2010,6,massa,144,0,ferrari
2010,7,rosberg,142,0,mercedes
2010,8,kubica,136,0,renault
2010,9,michael_schumacher,72,0,mercedes
2010,10,barrichello,47,0,williams
2010,11,sutil,47,0,force_india
2010,12,kobayashi,32,0,sauber
2010,13,petrov,27,0,renault
2010,14,hulkenberg,22,0,williams
2010,15,liuzzi,21,0,force_india
2010,16,buemi,8,0,toro_rosso
2010,17,rosa,6,0,sauber
2010,18,heidfeld,6,0,sauber
2010,19,alguersuari,5,0,toro_rosso
2010,20,kovalainen,0,0,lotus_racing
2010,21,trulli,0,0,lotus_racing
2010,22,chandhok,0,0,hrt
2010,23,bruno_senna,0,0,hrt
2010,24,grassi,0,0,virgin
2010,25,glock,0,0,virgin
2010,26,yamamoto,0,0,hrt
2010,27,klien,0,0,hrt
