season,position,driverId,points,wins,constructorId
2013,1,vettel,397,13,red_bull
2013,2,alonso,242,2,ferrari
2013,3,webber,199,0,red_bull
2013,4,hamilton,189,1,mercedes
2013,5,raikkonen,183,1,lotus_f1
2013,6,rosberg,171,2,mercedes
2013,7,grosjean,132,0,lotus_f1
2013,8,massa,112,0,ferrari
2013,9,button,73,0,mclaren
2013,10,hulkenberg,51,0,sauber
2013,11,perez,49,0,mclaren
2013,12,resta,48,0,force_india
2013,13,sutil,29,0,force_india
2013,14,ricciardo,20,0,toro_rosso
2013,15,vergne,13,0,toro_rosso
2013,16,gutierrez,6,0,sauber
2013,17,bottas,4,0,williams
2013,18,maldonado,1,0,williams
2013,19,jules_bianchi,0,0,marussia
2013,20,pic,0,0,caterham
2013,21,garde,0,0,caterham
2013,22,kovalainen,0,0,lotus_f1
2013,23,chilton,0,0,marussia
