season,round,circuitId,driverId,position,grid,points,laps,status,fastestLapRank
2025,1,albert_park,norris,1,1,25,57,Finished,1
2025,1,albert_park,max_verstappen,2,3,18,57,Finished,3
2025,1,albert_park,russell,3,4,15,57,Finished,11
2025,1,albert_park,antonelli,4,16,12,57,Finished,9
2025,1,albert_park,albon,5,6,10,57,Finished,8
2025,1,albert_park,stroll,6,13,8,57,Finished,14
2025,1,albert_park,hulkenberg,7,17,6,57,Finished,12
2025,1,albert_park,leclerc,8,7,4,57,Finished,13
2025,1,albert_park,piastri,9,2,2,57,Finished,4
2025,1,albert_park,hamilton,10,8,1,57,Finished,7
2025,1,albert_park,gasly,11,9,0,57,Finished,10
2025,1,albert_park,tsunoda,12,5,0,57,Finished,6
2025,1,albert_park,ocon,13,19,0,57,Finished,15
2025,1,albert_park,bearman,14,20,0,57,Finished,16
2025,1,albert_park,lawson,15,18,0,46,Retired,2
2025,1,albert_park,bortoleto,16,15,0,45,Retired,5
2025,1,albert_park,alonso,17,12,0,32,Retired,17
2025,1,albert_park,sainz,18,10,0,0,Retired,
2025,1,albert_park,doohan,19,14,0,0,Retired,
2025,1,albert_park,hadjar,20,11,0,0,Retired,
2025,2,shanghai,piastri,1,1,25,56,Finished,3
2025,2,shanghai,norris,2,3,18,56,Finished,1
2025,2,shanghai,russell,3,2,15,56,Finished,5
2025,2,shanghai,max_verstappen,4,4,12,56,Finished,2
2025,2,shanghai,ocon,5,11,10,56,Finished,4
2025,2,shanghai,antonelli,6,8,8,56,Finished,11
2025,2,shanghai,albon,7,10,6,56,Finished,12
2025,2,shanghai,bearman,8,17,4,56,Finished,13
2025,2,shanghai,stroll,9,14,2,56,Finished,10
2025,2,shanghai,sainz,10,15,1,56,Finished,15
2025,2,shanghai,hadjar,11,7,0,56,Finished,6
2025,2,shanghai,lawson,12,20,0,56,Finished,9
2025,2,shanghai,doohan,13,18,0,56,Finished,14
2025,2,shanghai,bortoleto,14,19,0,55,Lapped,8
2025,2,shanghai,hulkenberg,15,12,0,55,Lapped,16
2025,2,shanghai,tsunoda,16,9,0,55,Lapped,7
2025,2,shanghai,alonso,17,13,0,4,Retired,17
2025,2,shanghai,leclerc,18,6,0,0,Disqualified,
2025,2,shanghai,hamilton,19,5,0,0,Disqualified,
2025,2,shanghai,gasly,20,16,0,0,Disqualified,
2025,3,suzuka,max_verstappen,1,1,25,53,Finished,3
2025,3,suzuka,norris,2,2,18,53,Finished,5
2025,3,suzuka,piastri,3,3,15,53,Finished,2
2025,3,suzuka,leclerc,4,4,12,53,Finished,10
2025,3,suzuka,russell,5,5,10,53,Finished,8
2025,3,suzuka,antonelli,6,6,8,53,Finished,1
2025,3,suzuka,hamilton,7,8,6,53,Finished,9
2025,3,suzuka,hadjar,8,7,4,53,Finished,7
2025,3,suzuka,albon,9,9,2,53,Finished,6
2025,3,suzuka,bearman,10,10,1,53,Finished,15
2025,3,suzuka,alonso,11,12,0,53,Finished,11
2025,3,suzuka,tsunoda,12,14,0,53,Finished,13
2025,3,suzuka,gasly,13,11,0,53,Finished,12
2025,3,suzuka,sainz,14,15,0,53,Finished,4
2025,3,suzuka,doohan,15,19,0,53,Finished,20
2025,3,suzuka,hulkenberg,16,16,0,53,Finished,19
2025,3,suzuka,lawson,17,13,0,53,Finished,17
2025,3,suzuka,ocon,18,18,0,53,Finished,14
2025,3,suzuka,bortoleto,19,17,0,53,Finished,16
2025,3,suzuka,stroll,20,20,0,52,Lapped,18
2025,4,bahrain,piastri,1,1,25,57,Finished,1
2025,4,bahrain,russell,2,3,18,57,Finished,2
2025,4,bahrain,norris,3,6,15,57,Finished,3
2025,4,bahrain,leclerc,4,2,12,57,Finished,4
2025,4,bahrain,hamilton,5,9,10,57,Finished,6
2025,4,bahrain,max_verstappen,6,7,8,57,Finished,5
2025,4,bahrain,gasly,7,4,6,57,Finished,7
2025,4,bahrain,ocon,8,14,4,57,Finished,12
2025,4,bahrain,tsunoda,9,10,2,57,Finished,14
2025,4,bahrain,bearman,10,20,1,57,Finished,15
2025,4,bahrain,antonelli,11,5,0,57,Finished,9
2025,4,bahrain,albon,12,15,0,57,Finished,13
2025,4,bahrain,hadjar,13,12,0,57,Finished,10
2025,4,bahrain,doohan,14,11,0,57,Finished,8
2025,4,bahrain,alonso,15,13,0,57,Finished,17
2025,4,bahrain,lawson,16,17,0,57,Finished,16
2025,4,bahrain,stroll,17,19,0,57,Finished,19
2025,4,bahrain,bortoleto,18,18,0,57,Finished,18
