season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2025,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2025-03-16,04:00:00Z
2025,2,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2025-03-23,07:00:00Z
2025,3,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2025-04-06,05:00:00Z
2025,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2025-04-13,15:00:00Z
2025,5,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2025-04-20,17:00:00Z
2025,6,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,2025-05-04,20:00:00Z
2025,7,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,2025-05-18,13:00:00Z
2025,8,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2025-05-25,13:00:00Z
2025,9,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2025-06-01,13:00:00Z
2025,10,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2025-06-15,18:00:00Z
2025,11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2025-06-29,13:00:00Z
2025,12,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2025-07-06,14:00:00Z
2025,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2025-07-27,13:00:00Z
2025,14,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2025-08-03,13:00:00Z
2025,15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2025-08-31,13:00:00Z
2025,16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2025-09-07,13:00:00Z
2025,17,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2025-09-21,11:00:00Z
2025,18,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2025-10-05,12:00:00Z
2025,19,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2025-10-19,19:00:00Z
2025,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2025-10-26,20:00:00Z
2025,21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2025-11-09,17:00:00Z
2025,22,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,2025-11-23,04:00:00Z
2025,23,Qatar Grand Prix,losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542,2025-11-30,16:00:00Z
2025,24,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2025-12-07,13:00:00Z
