season,round,circuitId,driverId,constructorId,position,grid,points,laps,status,fastestLapRank
2026,1,albert_park,russell,mercedes,1,1,25,58,Finished,6
2026,1,albert_park,antonelli,mercedes,2,2,18,58,Finished,3
2026,1,albert_park,leclerc,ferrari,3,4,15,58,Finished,5
2026,1,albert_park,hamilton,ferrari,4,7,12,58,Finished,4
2026,1,albert_park,norris,mclaren,5,6,10,58,Finished,2
2026,1,albert_park,max_verstappen,red_bull,6,20,8,58,Finished,1
2026,1,albert_park,bearman,haas,7,12,6,57,Lapped,11
2026,1,albert_park,arvid_lindblad,rb,8,9,4,57,Lapped,12
2026,1,albert_park,bortoleto,audi,9,10,2,57,Lapped,8
2026,1,albert_park,gasly,alpine,10,14,1,57,Lapped,15
2026,1,albert_park,ocon,haas,11,13,0,57,Lapped,14
2026,1,albert_park,albon,williams,12,15,0,57,Lapped,13
2026,1,albert_park,lawson,rb,13,8,0,57,Lapped,10
2026,1,albert_park,colapinto,alpine,14,16,0,56,Lapped,7
2026,1,albert_park,sainz,williams,15,21,0,56,Lapped,9
2026,1,albert_park,perez,cadillac,16,18,0,55,Lapped,19
2026,1,albert_park,stroll,aston_martin,17,22,0,43,Lapped,17
2026,1,albert_park,alonso,aston_martin,18,17,0,21,Retired,18
2026,1,albert_park,bottas,cadillac,19,19,0,15,Retired,20
2026,1,albert_park,hadjar,red_bull,20,3,0,10,Retired,16
2026,1,albert_park,piastri,mclaren,21,5,0,0,Did not start,
2026,1,albert_park,hulkenberg,audi,22,11,0,0,Did not start,
2026,2,shanghai,antonelli,mercedes,1,1,25,56,Finished,1
2026,2,shanghai,russell,mercedes,2,2,18,56,Finished,2
2026,2,shanghai,hamilton,ferrari,3,3,15,56,Finished,5
2026,2,shanghai,leclerc,ferrari,4,4,12,56,Finished,4
2026,2,shanghai,bearman,haas,5,10,10,56,Finished,8
2026,2,shanghai,gasly,alpine,6,7,8,56,Finished,9
2026,2,shanghai,lawson,rb,7,14,6,56,Finished,12
2026,2,shanghai,hadjar,red_bull,8,9,4,56,Finished,13
2026,2,shanghai,sainz,williams,9,17,2,55,Lapped,14
2026,2,shanghai,colapinto,alpine,10,12,1,55,Lapped,10
2026,2,shanghai,hulkenberg,audi,11,11,0,55,Lapped,7
2026,2,shanghai,arvid_lindblad,rb,12,15,0,55,Lapped,6
2026,2,shanghai,bottas,cadillac,13,19,0,55,Lapped,15
2026,2,shanghai,ocon,haas,14,13,0,55,Lapped,3
2026,2,shanghai,perez,cadillac,15,21,0,55,Lapped,16
2026,2,shanghai,max_verstappen,red_bull,16,8,0,45,Retired,11
2026,2,shanghai,alonso,aston_martin,17,18,0,32,Retired,17
2026,2,shanghai,stroll,aston_martin,18,20,0,9,Retired,18
2026,2,shanghai,piastri,mclaren,19,5,0,0,Did not start,
2026,2,shanghai,norris,mclaren,20,6,0,0,Did not start,
2026,2,shanghai,bortoleto,audi,21,16,0,0,Did not start,
2026,2,shanghai,albon,williams,22,22,0,0,Did not start,
2026,3,suzuka,antonelli,mercedes,1,1,25,53,Finished,1
2026,3,suzuka,piastri,mclaren,2,3,18,53,Finished,5
2026,3,suzuka,leclerc,ferrari,3,4,15,53,Finished,3
2026,3,suzuka,russell,mercedes,4,2,12,53,Finished,2
2026,3,suzuka,norris,mclaren,5,5,10,53,Finished,6
2026,3,suzuka,hamilton,ferrari,6,6,8,53,Finished,4
2026,3,suzuka,gasly,alpine,7,7,6,53,Finished,9
2026,3,suzuka,max_verstappen,red_bull,8,11,4,53,Finished,8
2026,3,suzuka,lawson,rb,9,14,2,53,Finished,13
2026,3,suzuka,ocon,haas,10,12,1,53,Finished,14
2026,3,suzuka,hulkenberg,audi,11,13,0,53,Finished,10
2026,3,suzuka,hadjar,red_bull,12,8,0,53,Finished,11
2026,3,suzuka,bortoleto,audi,13,9,0,53,Finished,12
2026,3,suzuka,arvid_lindblad,rb,14,10,0,53,Finished,15
2026,3,suzuka,sainz,williams,15,16,0,53,Finished,17
2026,3,suzuka,colapinto,alpine,16,15,0,53,Finished,16
2026,3,suzuka,perez,cadillac,17,19,0,53,Finished,19
2026,3,suzuka,alonso,aston_martin,18,21,0,52,Lapped,20
2026,3,suzuka,bottas,cadillac,19,20,0,52,Lapped,21
2026,3,suzuka,albon,williams,20,17,0,51,Lapped,7
2026,3,suzuka,stroll,aston_martin,21,22,0,30,Retired,22
2026,3,suzuka,bearman,haas,22,18,0,20,Retired,18
2026,4,miami,antonelli,mercedes,1,1,25,57,Finished,3
2026,4,miami,norris,mclaren,2,4,18,57,Finished,1
2026,4,miami,piastri,mclaren,3,7,15,57,Finished,2
2026,4,miami,russell,mercedes,4,5,12,57,Finished,4
2026,4,miami,max_verstappen,red_bull,5,2,10,57,Finished,9
2026,4,miami,hamilton,ferrari,6,6,8,57,Finished,6
2026,4,miami,colapinto,alpine,7,8,6,57,Finished,8
2026,4,miami,leclerc,ferrari,8,3,4,57,Finished,5
2026,4,miami,sainz,williams,9,13,2,57,Finished,7
2026,4,miami,albon,williams,10,15,1,57,Finished,13
2026,4,miami,bearman,haas,11,12,0,56,Lapped,12
2026,4,miami,bortoleto,audi,12,21,0,56,Lapped,10
2026,4,miami,ocon,haas,13,14,0,56,Lapped,11
2026,4,miami,arvid_lindblad,rb,14,16,0,56,Lapped,14
2026,4,miami,alonso,aston_martin,15,17,0,56,Lapped,16
2026,4,miami,perez,cadillac,16,20,0,56,Lapped,21
2026,4,miami,stroll,aston_martin,17,18,0,56,Lapped,17
2026,4,miami,bottas,cadillac,18,19,0,55,Lapped,22
2026,4,miami,hulkenberg,audi,19,10,0,7,Retired,15
2026,4,miami,lawson,rb,20,11,0,6,Retired,18
2026,4,miami,gasly,alpine,21,9,0,4,Retired,20
2026,4,miami,hadjar,red_bull,22,22,0,4,Retired,19
2026,5,villeneuve,antonelli,mercedes,1,2,25,68,Finished,1
2026,5,villeneuve,hamilton,ferrari,2,5,18,68,Finished,3
2026,5,villeneuve,max_verstappen,red_bull,3,6,15,68,Finished,2
2026,5,villeneuve,leclerc,ferrari,4,8,12,68,Finished,5
2026,5,villeneuve,hadjar,red_bull,5,7,10,67,Lapped,4
2026,5,villeneuve,colapinto,alpine,6,10,8,67,Lapped,8
2026,5,villeneuve,lawson,rb,7,12,6,67,Lapped,10
2026,5,villeneuve,gasly,alpine,8,14,4,67,Lapped,6
2026,5,villeneuve,sainz,williams,9,15,2,67,Lapped,12
2026,5,villeneuve,bearman,haas,10,16,1,67,Lapped,13
2026,5,villeneuve,piastri,mclaren,11,4,0,66,Lapped,7
2026,5,villeneuve,hulkenberg,audi,12,11,0,66,Lapped,15
2026,5,villeneuve,bortoleto,audi,13,13,0,66,Lapped,14
2026,5,villeneuve,ocon,haas,14,17,0,66,Lapped,16
2026,5,villeneuve,stroll,aston_martin,15,22,0,64,Lapped,20
2026,5,villeneuve,bottas,cadillac,16,21,0,64,Lapped,19
2026,5,villeneuve,perez,cadillac,17,20,0,39,Retired,17
2026,5,villeneuve,norris,mclaren,18,3,0,38,Retired,11
2026,5,villeneuve,russell,mercedes,19,1,0,29,Retired,9
2026,5,villeneuve,alonso,aston_martin,20,19,0,23,Retired,21
2026,5,villeneuve,albon,williams,21,18,0,11,Retired,18
2026,5,villeneuve,arvid_lindblad,rb,22,9,0,0,Did not start,
2026,6,monaco,antonelli,mercedes,1,1,25,78,Finished,1
2026,6,monaco,hamilton,ferrari,2,3,18,78,Finished,2
2026,6,monaco,gasly,alpine,3,9,15,78,Finished,3
2026,6,monaco,hadjar,red_bull,4,5,12,78,Finished,4
2026,6,monaco,piastri,mclaren,5,7,10,78,Finished,7
2026,6,monaco,lawson,rb,6,10,8,78,Finished,5
2026,6,monaco,arvid_lindblad,rb,7,15,6,78,Finished,8
2026,6,monaco,albon,williams,8,11,4,78,Finished,12
2026,6,monaco,ocon,haas,9,17,2,78,Finished,15
2026,6,monaco,alonso,aston_martin,10,21,1,78,Finished,16
2026,6,monaco,bortoleto,audi,11,16,0,78,Finished,13
2026,6,monaco,russell,mercedes,12,6,0,78,Finished,6
2026,6,monaco,hulkenberg,audi,13,13,0,78,Finished,11
2026,6,monaco,colapinto,alpine,14,14,0,78,Finished,10
2026,6,monaco,perez,cadillac,15,18,0,78,Finished,14
2026,6,monaco,sainz,williams,16,12,0,70,Retired,18
2026,6,monaco,leclerc,ferrari,17,4,0,64,Retired,9
2026,6,monaco,stroll,aston_martin,18,22,0,56,Retired,20
2026,6,monaco,norris,mclaren,19,8,0,43,Retired,17
2026,6,monaco,bearman,haas,20,19,0,27,Retired,19
2026,6,monaco,bottas,cadillac,21,20,0,15,Retired,21
2026,6,monaco,max_verstappen,red_bull,22,2,0,0,Retired,
2026,7,catalunya,hamilton,ferrari,1,2,25,66,Finished,1
2026,7,catalunya,russell,mercedes,2,1,18,66,Finished,6
2026,7,catalunya,norris,mclaren,3,4,15,66,Finished,4
2026,7,catalunya,max_verstappen,red_bull,4,5,12,66,Finished,3
2026,7,catalunya,piastri,mclaren,5,7,10,66,Finished,8
2026,7,catalunya,hadjar,red_bull,6,6,8,65,Lapped,2
2026,7,catalunya,gasly,alpine,7,14,6,65,Lapped,13
2026,7,catalunya,lawson,rb,8,8,4,65,Lapped,17
2026,7,catalunya,arvid_lindblad,rb,9,11,2,65,Lapped,12
2026,7,catalunya,colapinto,alpine,10,13,1,65,Lapped,16
2026,7,catalunya,bortoleto,audi,11,12,0,64,Lapped,9
2026,7,catalunya,sainz,williams,12,16,0,64,Lapped,14
2026,7,catalunya,ocon,haas,13,17,0,64,Lapped,10
2026,7,catalunya,perez,cadillac,14,19,0,63,Lapped,18
2026,7,catalunya,leclerc,ferrari,15,10,0,62,Retired,5
2026,7,catalunya,antonelli,mercedes,16,3,0,61,Retired,7
2026,7,catalunya,bearman,haas,17,15,0,60,Retired,15
2026,7,catalunya,albon,williams,18,18,0,55,Lapped,11
2026,7,catalunya,alonso,aston_martin,19,22,0,37,Retired,20
2026,7,catalunya,hulkenberg,audi,20,9,0,29,Retired,19
2026,7,catalunya,bottas,cadillac,21,20,0,15,Retired,21
2026,7,catalunya,stroll,aston_martin,22,21,0,5,Retired,22
