season,position,driverId,points,wins,constructorId
2007,1,raikkonen,110,6,ferrari
2007,2,hamilton,109,4,mclaren
2007,3,alonso,109,4,mclaren
2007,4,massa,94,3,ferrari
2007,5,heidfeld,61,0,bmw_sauber
2007,6,kubica,39,0,bmw_sauber
2007,7,kovalainen,30,0,renault
2007,8,fisichella,21,0,renault
2007,9,rosberg,20,0,williams
2007,10,coulthard,14,0,red_bull
2007,11,wurz,13,0,williams
2007,12,webber,10,0,red_bull
2007,13,trulli,8,0,toyota
2007,14,vettel,6,0,bmw_sauber
2007,15,button,6,0,honda
2007,16,ralf_schumacher,5,0,toyota
2007,17,sato,4,0,super_aguri
2007,18,liuzzi,3,0,toro_rosso
2007,19,sutil,1,0,spyker
2007,20,barrichello,0,0,honda
2007,21,speed,0,0,toro_rosso
2007,22,nakajima,0,0,williams
2007,23,davidson,0,0,super_aguri
2007,24,yamamoto,0,0,spyker
2007,25,albers,0,0,spyker
2007,-,markus_winkelhock,0,0,spyker
