season,position,driverId,points,wins,constructorId
2026,1,antonelli,156,5,mercedes
2026,2,hamilton,115,1,ferrari
2026,3,russell,106,1,mercedes
2026,4,leclerc,75,0,ferrari
2026,5,norris,73,0,mclaren
2026,6,piastri,68,0,mclaren
2026,7,max_verstappen,55,0,red_bull
2026,8,gasly,41,0,alpine
2026,9,hadjar,34,0,red_bull
2026,10,lawson,28,0,rb
2026,11,bearman,18,0,haas
2026,12,colapinto,16,0,alpine
2026,13,arvid_lindblad,13,0,rb
2026,14,sainz,6,0,williams
2026,15,albon,5,0,williams
2026,16,ocon,3,0,haas
2026,17,bortoleto,2,0,audi
2026,18,alonso,1,0,aston_martin
2026,19,hulkenberg,0,0,audi
2026,20,bottas,0,0,cadillac
2026,21,perez,0,0,cadillac
2026,22,stroll,0,0,aston_martin
