constructorId,name,nationality,url,teamPrincipal
alfa,Alfa Romeo,Swiss,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Frédéric Vasseur
alphatauri,AlphaTauri,Italian,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,Franz Tost
alpine,Alpine F1 Team,French,https://en.wikipedia.org/wiki/Alpine_F1_Team,Laurent Rossi
aston_martin,Aston Martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Otmar Szafnauer
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Mattia Binotto
haas,Haas F1 Team,American,https://en.wikipedia.org/wiki/Haas_F1_Team,Guenther Steiner
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren,Andreas Seidl
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Toto Wolff
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,Christian Horner
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing,Jost Capito
