season,position,driverId,points,wins,constructorId
2014,1,hamilton,384,11,mercedes
2014,2,rosberg,317,5,mercedes
2014,3,ricciardo,238,3,red_bull
2014,4,bottas,186,0,williams
2014,5,vettel,167,0,red_bull
2014,6,alonso,161,0,ferrari
2014,7,massa,134,0,williams
2014,8,button,126,0,mclaren
2014,9,hulkenberg,96,0,force_india
2014,10,perez,59,0,force_india
2014,11,kevin_magnussen,55,0,mclaren
2014,12,raikkonen,55,0,ferrari
2014,13,vergne,22,0,toro_rosso
2014,14,grosjean,8,0,lotus_f1
2014,15,kvyat,8,0,toro_rosso
2014,16,maldonado,2,0,lotus_f1
2014,17,jules_bianchi,2,0,marussia
2014,18,sutil,0,0,sauber
2014,19,ericsson,0,0,caterham
2014,20,gutierrez,0,0,sauber
2014,21,chilton,0,0,marussia
2014,22,kobayashi,0,0,caterham
2014,23,stevens,0,0,caterham
2014,-,lotterer,0,0,caterham
