season,position,driverId,points,wins,constructorId
2022,1,max_verstappen,454,15,red_bull
2022,2,leclerc,308,3,ferrari
2022,3,perez,305,2,red_bull
2022,4,russell,275,1,mercedes
2022,5,sainz,246,1,ferrari
2022,6,hamilton,240,0,mercedes
2022,7,norris,122,0,mclaren
2022,8,ocon,92,0,alpine
2022,9,alonso,81,0,alpine
2022,10,bottas,49,0,alfa
2022,11,ricciardo,37,0,mclaren
2022,12,vettel,37,0,aston_martin
2022,13,kevin_magnussen,25,0,haas
2022,14,gasly,23,0,alphatauri
2022,15,stroll,18,0,aston_martin
2022,16,mick_schumacher,12,0,haas
2022,17,tsunoda,12,0,alphatauri
2022,18,zhou,6,0,alfa
2022,19,albon,4,0,williams
2022,20,latifi,2,0,williams
2022,21,de_vries,2,0,williams
2022,22,hulkenberg,0,0,aston_martin
