season,position,driverId,points,wins,constructorId
2019,1,hamilton,413,11,mercedes
2019,2,bottas,326,4,mercedes
2019,3,max_verstappen,278,3,red_bull
2019,4,leclerc,264,2,ferrari
2019,5,vettel,240,1,ferrari
2019,6,sainz,96,0,mclaren
2019,7,gasly,95,0,red_bull
2019,8,albon,92,0,toro_rosso
2019,9,ricciardo,54,0,renault
2019,10,perez,52,0,racing_point
2019,11,norris,49,0,mclaren
2019,12,raikkonen,43,0,alfa
2019,13,kvyat,37,0,toro_rosso
2019,14,hulkenberg,37,0,renault
2019,15,stroll,21,0,racing_point
2019,16,kevin_magnussen,20,0,haas
2019,17,giovinazzi,14,0,alfa
2019,18,grosjean,8,0,haas
2019,19,kubica,1,0,williams
2019,20,russell,0,0,williams
