season,position,driverId,points,wins,constructorId
2025,1,norris,423,7,mclaren
2025,2,max_verstappen,421,8,red_bull
2025,3,piastri,410,7,mclaren
2025,4,russell,319,2,mercedes
2025,5,leclerc,242,0,ferrari
2025,6,hamilton,156,0,ferrari
2025,7,antonelli,150,0,mercedes
2025,8,albon,73,0,williams
2025,9,sainz,64,0,williams
2025,10,alonso,56,0,aston_martin
2025,11,hulkenberg,51,0,sauber
2025,12,hadjar,51,0,rb
2025,13,bearman,41,0,haas
2025,14,lawson,38,0,red_bull
2025,15,ocon,38,0,haas
2025,16,stroll,33,0,aston_martin
2025,17,tsunoda,33,0,rb
2025,18,gasly,22,0,alpine
2025,19,bortoleto,19,0,sauber
2025,20,colapinto,0,0,alpine
2025,21,doohan,0,0,alpine
