season,round,raceId,circuitId,driverId,position,q1,q2,q3
2021,1,2021_01,bahrain,max_verstappen,1,1:30.499,1:30.318,1:28.997
2021,1,2021_01,bahrain,hamilton,2,1:30.617,1:30.085,1:29.385
2021,1,2021_01,bahrain,bottas,3,1:31.200,1:30.186,1:29.586
2021,1,2021_01,bahrain,leclerc,4,1:30.691,1:30.010,1:29.678
2021,1,2021_01,bahrain,gasly,5,1:30.848,1:30.513,1:29.809
2021,1,2021_01,bahrain,ricciardo,6,1:30.795,1:30.222,1:29.927
2021,1,2021_01,bahrain,norris,7,1:30.902,1:30.099,1:29.974
2021,1,2021_01,bahrain,sainz,8,1:31.653,1:30.009,1:30.215
2021,1,2021_01,bahrain,alonso,9,1:30.863,1:30.595,1:30.249
2021,1,2021_01,bahrain,stroll,10,1:31.261,1:30.624,1:30.601
2021,1,2021_01,bahrain,perez,11,1:31.165,1:30.659,
2021,1,2021_01,bahrain,giovinazzi,12,1:30.998,1:30.708,
2021,1,2021_01,bahrain,tsunoda,13,1:30.607,1:31.203,
2021,1,2021_01,bahrain,raikkonen,14,1:31.547,1:31.238,
2021,1,2021_01,bahrain,russell,15,1:31.316,1:33.430,
2021,1,2021_01,bahrain,ocon,16,1:31.724,,
2021,1,2021_01,bahrain,latifi,17,1:31.936,,
2021,1,2021_01,bahrain,vettel,18,1:32.056,,
2021,1,2021_01,bahrain,mick_schumacher,19,1:32.449,,
2021,1,2021_01,bahrain,mazepin,20,1:33.273,,
2021,2,2021_02,imola,hamilton,1,1:14.823,1:14.817,1:14.411
2021,2,2021_02,imola,perez,2,1:15.395,1:14.716,1:14.446
2021,2,2021_02,imola,max_verstappen,3,1:15.109,1:14.884,1:14.498
2021,2,2021_02,imola,leclerc,4,1:15.413,1:14.808,1:14.740
2021,2,2021_02,imola,gasly,5,1:15.548,1:14.927,1:14.790
2021,2,2021_02,imola,ricciardo,6,1:15.669,1:15.033,1:14.826
2021,2,2021_02,imola,norris,7,1:15.009,1:14.718,1:14.875
2021,2,2021_02,imola,bottas,8,1:14.672,1:14.905,1:14.898
2021,2,2021_02,imola,ocon,9,1:15.385,1:15.117,1:15.210
2021,2,2021_02,imola,stroll,10,1:15.522,1:15.138,
2021,2,2021_02,imola,sainz,11,1:15.406,1:15.199,
2021,2,2021_02,imola,russell,12,1:15.826,1:15.261,
2021,2,2021_02,imola,vettel,13,1:15.459,1:15.394,
2021,2,2021_02,imola,latifi,14,1:15.653,1:15.593,
2021,2,2021_02,imola,alonso,15,1:15.832,1:15.593,
2021,2,2021_02,imola,raikkonen,16,1:15.974,,
2021,2,2021_02,imola,giovinazzi,17,1:16.122,,
2021,2,2021_02,imola,mick_schumacher,18,1:16.279,,
2021,2,2021_02,imola,mazepin,19,1:16.797,,
2021,2,2021_02,imola,tsunoda,20,,,
2021,3,2021_03,portimao,bottas,1,1:18.722,1:18.458,1:18.348
2021,3,2021_03,portimao,hamilton,2,1:18.857,1:17.968,1:18.355
2021,3,2021_03,portimao,max_verstappen,3,1:19.485,1:18.650,1:18.746
2021,3,2021_03,portimao,perez,4,1:19.337,1:18.845,1:18.890
2021,3,2021_03,portimao,sainz,5,1:19.309,1:18.813,1:19.039
2021,3,2021_03,portimao,ocon,6,1:19.092,1:18.586,1:19.042
2021,3,2021_03,portimao,norris,7,1:18.794,1:18.481,1:19.116
2021,3,2021_03,portimao,leclerc,8,1:19.373,1:18.769,1:19.306
2021,3,2021_03,portimao,gasly,9,1:19.464,1:19.052,1:19.475
2021,3,2021_03,portimao,vettel,10,1:19.403,1:18.970,1:19.659
2021,3,2021_03,portimao,russell,11,1:19.797,1:19.109,
2021,3,2021_03,portimao,giovinazzi,12,1:19.410,1:19.216,
2021,3,2021_03,portimao,alonso,13,1:19.728,1:19.456,
2021,3,2021_03,portimao,tsunoda,14,1:19.684,1:19.463,
2021,3,2021_03,portimao,raikkonen,15,1:19.748,1:19.812,
2021,3,2021_03,portimao,ricciardo,16,1:19.839,,
2021,3,2021_03,portimao,stroll,17,1:19.913,,
2021,3,2021_03,portimao,latifi,18,1:20.285,,
2021,3,2021_03,portimao,mick_schumacher,19,1:20.452,,
2021,3,2021_03,portimao,mazepin,20,1:20.912,,
2021,4,2021_04,catalunya,hamilton,1,1:18.245,1:17.166,1:16.741
2021,4,2021_04,catalunya,max_verstappen,2,1:18.090,1:16.922,1:16.777
2021,4,2021_04,catalunya,bottas,3,1:18.005,1:17.142,1:16.873
2021,4,2021_04,catalunya,leclerc,4,1:18.041,1:17.717,1:17.510
2021,4,2021_04,catalunya,ocon,5,1:18.281,1:17.743,1:17.580
2021,4,2021_04,catalunya,sainz,6,1:18.205,1:17.656,1:17.620
2021,4,2021_04,catalunya,ricciardo,7,1:18.264,1:17.719,1:17.622
2021,4,2021_04,catalunya,perez,8,1:18.203,1:17.669,1:17.701
2021,4,2021_04,catalunya,norris,9,1:17.821,1:17.696,1:18.010
2021,4,2021_04,catalunya,alonso,10,1:18.281,1:17.966,1:18.147
2021,4,2021_04,catalunya,stroll,11,1:18.241,1:17.974,
2021,4,2021_04,catalunya,gasly,12,1:18.190,1:17.982,
2021,4,2021_04,catalunya,vettel,13,1:18.289,1:18.079,
2021,4,2021_04,catalunya,giovinazzi,14,1:18.549,1:18.356,
2021,4,2021_04,catalunya,russell,15,1:18.445,1:19.154,
2021,4,2021_04,catalunya,tsunoda,16,1:18.556,,
2021,4,2021_04,catalunya,raikkonen,17,1:18.917,,
2021,4,2021_04,catalunya,mick_schumacher,18,1:19.117,,
2021,4,2021_04,catalunya,latifi,19,1:19.219,,
2021,4,2021_04,catalunya,mazepin,20,1:19.807,,
2021,5,2021_05,monaco,leclerc,1,1:11.113,1:10.597,1:10.346
2021,5,2021_05,monaco,max_verstappen,2,1:11.124,1:10.650,1:10.576
2021,5,2021_05,monaco,bottas,3,1:10.938,1:10.695,1:10.601
2021,5,2021_05,monaco,sainz,4,1:11.324,1:10.806,1:10.611
2021,5,2021_05,monaco,norris,5,1:11.321,1:11.031,1:10.620
2021,5,2021_05,monaco,gasly,6,1:11.560,1:11.179,1:10.900
2021,5,2021_05,monaco,hamilton,7,1:11.622,1:11.116,1:11.095
2021,5,2021_05,monaco,vettel,8,1:12.078,1:11.309,1:11.419
2021,5,2021_05,monaco,perez,9,1:11.644,1:11.019,1:11.573
2021,5,2021_05,monaco,giovinazzi,10,1:11.658,1:11.409,1:11.779
2021,5,2021_05,monaco,ocon,11,1:11.740,1:11.486,
2021,5,2021_05,monaco,ricciardo,12,1:11.747,1:11.598,
2021,5,2021_05,monaco,stroll,13,1:11.979,1:11.600,
2021,5,2021_05,monaco,raikkonen,14,1:11.899,1:11.642,
2021,5,2021_05,monaco,russell,15,1:12.016,1:11.830,
2021,5,2021_05,monaco,tsunoda,16,1:12.096,,
2021,5,2021_05,monaco,alonso,17,1:12.205,,
2021,5,2021_05,monaco,latifi,18,1:12.366,,
2021,5,2021_05,monaco,mazepin,19,1:12.958,,
2021,6,2021_06,baku,leclerc,1,1:42.241,1:41.659,1:41.218
2021,6,2021_06,baku,hamilton,2,1:41.545,1:41.634,1:41.450
2021,6,2021_06,baku,max_verstappen,3,1:41.760,1:41.625,1:41.563
2021,6,2021_06,baku,gasly,4,1:42.288,1:41.932,1:41.565
2021,6,2021_06,baku,sainz,5,1:42.121,1:41.740,1:41.576
2021,6,2021_06,baku,norris,6,1:42.167,1:41.813,1:41.747
2021,6,2021_06,baku,perez,7,1:41.968,1:41.630,1:41.917
2021,6,2021_06,baku,tsunoda,8,1:42.521,1:41.654,1:42.211
2021,6,2021_06,baku,alonso,9,1:42.934,1:42.195,1:42.327
2021,6,2021_06,baku,bottas,10,1:42.701,1:42.106,1:42.659
2021,6,2021_06,baku,vettel,11,1:42.460,1:42.224,
2021,6,2021_06,baku,ocon,12,1:42.426,1:42.273,
2021,6,2021_06,baku,ricciardo,13,1:42.304,1:42.558,
2021,6,2021_06,baku,raikkonen,14,1:42.923,1:42.587,
2021,6,2021_06,baku,russell,15,1:42.728,1:42.758,
2021,6,2021_06,baku,latifi,16,1:43.128,,
2021,6,2021_06,baku,mick_schumacher,17,1:44.158,,
2021,6,2021_06,baku,mazepin,18,1:44.238,,
2021,6,2021_06,baku,stroll,19,,,
2021,6,2021_06,baku,giovinazzi,20,,,
2021,7,2021_07,ricard,max_verstappen,1,1:31.001,1:31.080,1:29.990
2021,7,2021_07,ricard,hamilton,2,1:31.237,1:30.788,1:30.248
2021,7,2021_07,ricard,bottas,3,1:31.669,1:30.735,1:30.376
2021,7,2021_07,ricard,perez,4,1:31.560,1:30.971,1:30.445
2021,7,2021_07,ricard,sainz,5,1:32.079,1:31.146,1:30.840
2021,7,2021_07,ricard,gasly,6,1:31.898,1:31.353,1:30.868
2021,7,2021_07,ricard,leclerc,7,1:32.209,1:31.567,1:30.987
2021,7,2021_07,ricard,norris,8,1:31.733,1:31.542,1:31.252
2021,7,2021_07,ricard,alonso,9,1:32.158,1:31.549,1:31.340
2021,7,2021_07,ricard,ricciardo,10,1:32.181,1:31.615,1:31.382
2021,7,2021_07,ricard,ocon,11,1:32.139,1:31.736,
2021,7,2021_07,ricard,vettel,12,1:32.132,1:31.767,
2021,7,2021_07,ricard,giovinazzi,13,1:32.722,1:31.813,
2021,7,2021_07,ricard,russell,14,1:33.060,1:32.065,
2021,7,2021_07,ricard,mick_schumacher,15,1:32.942,,
2021,7,2021_07,ricard,latifi,16,1:33.062,,
2021,7,2021_07,ricard,raikkonen,17,1:33.354,,
2021,7,2021_07,ricard,mazepin,18,1:33.554,,
2021,7,2021_07,ricard,stroll,19,,,
2021,7,2021_07,ricard,tsunoda,20,,,
2021,8,2021_08,red_bull_ring,max_verstappen,1,1:04.489,1:04.433,1:03.841
2021,8,2021_08,red_bull_ring,bottas,2,1:04.537,1:04.443,1:04.035
2021,8,2021_08,red_bull_ring,hamilton,3,1:04.672,1:04.512,1:04.067
2021,8,2021_08,red_bull_ring,norris,4,1:04.584,1:04.298,1:04.120
2021,8,2021_08,red_bull_ring,perez,5,1:04.638,1:04.197,1:04.168
2021,8,2021_08,red_bull_ring,gasly,6,1:04.765,1:04.429,1:04.236
2021,8,2021_08,red_bull_ring,leclerc,7,1:04.745,1:04.646,1:04.472
2021,8,2021_08,red_bull_ring,tsunoda,8,1:04.608,1:04.631,1:04.514
2021,8,2021_08,red_bull_ring,alonso,9,1:04.971,1:04.582,1:04.574
2021,8,2021_08,red_bull_ring,stroll,10,1:04.821,1:04.663,1:04.708
2021,8,2021_08,red_bull_ring,russell,11,1:05.033,1:04.671,
2021,8,2021_08,red_bull_ring,sainz,12,1:04.859,1:04.800,
2021,8,2021_08,red_bull_ring,ricciardo,13,1:05.142,1:04.808,
2021,8,2021_08,red_bull_ring,vettel,14,1:05.051,1:04.875,
2021,8,2021_08,red_bull_ring,giovinazzi,15,1:05.092,1:04.913,
2021,8,2021_08,red_bull_ring,latifi,16,1:05.175,,
2021,8,2021_08,red_bull_ring,ocon,17,1:05.217,,
2021,8,2021_08,red_bull_ring,raikkonen,18,1:05.429,,
2021,8,2021_08,red_bull_ring,mick_schumacher,19,1:06.041,,
2021,8,2021_08,red_bull_ring,mazepin,20,1:06.192,,
2021,9,2021_09,red_bull_ring,max_verstappen,1,1:04.249,1:03.927,1:03.720
2021,9,2021_09,red_bull_ring,norris,2,1:04.345,1:04.415,1:03.768
2021,9,2021_09,red_bull_ring,perez,3,1:04.833,1:04.483,1:03.990
2021,9,2021_09,red_bull_ring,hamilton,4,1:04.506,1:04.258,1:04.014
2021,9,2021_09,red_bull_ring,bottas,5,1:04.563,1:04.376,1:04.049
2021,9,2021_09,red_bull_ring,gasly,6,1:04.841,1:04.412,1:04.107
2021,9,2021_09,red_bull_ring,tsunoda,7,1:04.967,1:04.518,1:04.273
2021,9,2021_09,red_bull_ring,vettel,8,1:04.846,1:04.493,1:04.570
2021,9,2021_09,red_bull_ring,russell,9,1:04.907,1:04.553,1:04.591
2021,9,2021_09,red_bull_ring,stroll,10,1:04.927,1:04.547,1:04.618
2021,9,2021_09,red_bull_ring,sainz,11,1:04.596,1:04.559,
2021,9,2021_09,red_bull_ring,leclerc,12,1:04.906,1:04.600,
2021,9,2021_09,red_bull_ring,ricciardo,13,1:04.977,1:04.719,
2021,9,2021_09,red_bull_ring,alonso,14,1:04.472,1:04.856,
2021,9,2021_09,red_bull_ring,giovinazzi,15,1:04.782,1:05.083,
2021,9,2021_09,red_bull_ring,raikkonen,16,1:05.009,,
2021,9,2021_09,red_bull_ring,ocon,17,1:05.051,,
2021,9,2021_09,red_bull_ring,latifi,18,1:05.195,,
2021,9,2021_09,red_bull_ring,mick_schumacher,19,1:05.427,,
2021,9,2021_09,red_bull_ring,mazepin,20,1:05.951,,
2021,10,2021_10,silverstone,hamilton,1,1:26.786,1:26.023,1:26.134
2021,10,2021_10,silverstone,max_verstappen,2,1:26.751,1:26.315,1:26.209
2021,10,2021_10,silverstone,bottas,3,1:27.487,1:26.764,1:26.328
2021,10,2021_10,silverstone,leclerc,4,1:27.051,1:26.919,1:26.828
2021,10,2021_10,silverstone,perez,5,1:27.121,1:27.073,1:26.844
2021,10,2021_10,silverstone,norris,6,1:27.444,1:27.220,1:26.897
2021,10,2021_10,silverstone,ricciardo,7,1:27.323,1:27.125,1:26.899
2021,10,2021_10,silverstone,russell,8,1:27.671,1:27.080,1:26.971
2021,10,2021_10,silverstone,sainz,9,1:27.337,1:26.848,1:27.007
2021,10,2021_10,silverstone,vettel,10,1:27.493,1:27.103,1:27.179
2021,10,2021_10,silverstone,alonso,11,1:27.580,1:27.245,
2021,10,2021_10,silverstone,gasly,12,1:27.600,1:27.273,
2021,10,2021_10,silverstone,ocon,13,1:27.415,1:27.340,
2021,10,2021_10,silverstone,giovinazzi,14,1:27.595,1:27.617,
2021,10,2021_10,silverstone,stroll,15,1:28.017,1:27.665,
2021,10,2021_10,silverstone,tsunoda,16,1:28.043,,
2021,10,2021_10,silverstone,raikkonen,17,1:28.062,,
2021,10,2021_10,silverstone,latifi,18,1:28.254,,
2021,10,2021_10,silverstone,mick_schumacher,19,1:28.738,,
2021,10,2021_10,silverstone,mazepin,20,1:29.051,,
2021,11,2021_11,hungaroring,hamilton,1,1:16.424,1:16.553,1:15.419
2021,11,2021_11,hungaroring,bottas,2,1:16.569,1:16.702,1:15.734
2021,11,2021_11,hungaroring,max_verstappen,3,1:16.214,1:15.650,1:15.840
2021,11,2021_11,hungaroring,perez,4,1:17.233,1:16.443,1:16.421
2021,11,2021_11,hungaroring,gasly,5,1:16.874,1:16.394,1:16.483
2021,11,2021_11,hungaroring,norris,6,1:17.081,1:16.385,1:16.489
2021,11,2021_11,hungaroring,leclerc,7,1:17.084,1:16.574,1:16.496
2021,11,2021_11,hungaroring,ocon,8,1:17.367,1:16.766,1:16.653
2021,11,2021_11,hungaroring,alonso,9,1:17.123,1:16.541,1:16.715
2021,11,2021_11,hungaroring,vettel,10,1:17.105,1:16.794,1:16.750
2021,11,2021_11,hungaroring,ricciardo,11,1:17.664,1:16.871,
2021,11,2021_11,hungaroring,stroll,12,1:17.038,1:16.893,
2021,11,2021_11,hungaroring,raikkonen,13,1:17.553,1:17.564,
2021,11,2021_11,hungaroring,giovinazzi,14,1:17.776,1:17.583,
2021,11,2021_11,hungaroring,sainz,15,1:16.649,,
2021,11,2021_11,hungaroring,tsunoda,16,1:17.919,,
2021,11,2021_11,hungaroring,russell,17,1:17.944,,
2021,11,2021_11,hungaroring,latifi,18,1:18.036,,
2021,11,2021_11,hungaroring,mazepin,19,1:18.922,,
2021,11,2021_11,hungaroring,mick_schumacher,20,,,
2021,12,2021_12,spa,max_verstappen,1,1:58.717,1:56.559,1:59.765
2021,12,2021_12,spa,russell,2,1:59.864,1:56.950,2:00.086
2021,12,2021_12,spa,hamilton,3,1:59.218,1:56.229,2:00.099
2021,12,2021_12,spa,ricciardo,4,2:01.583,1:57.127,2:00.864
2021,12,2021_12,spa,vettel,5,2:00.175,1:56.814,2:00.935
2021,12,2021_12,spa,gasly,6,2:00.387,1:56.440,2:01.164
2021,12,2021_12,spa,perez,7,1:59.334,1:56.886,2:02.112
2021,12,2021_12,spa,bottas,8,1:59.870,1:56.295,2:02.502
2021,12,2021_12,spa,ocon,9,2:01.824,1:57.354,2:03.513
2021,12,2021_12,spa,norris,10,1:58.301,1:56.025,
2021,12,2021_12,spa,leclerc,11,2:00.728,1:57.721,
2021,12,2021_12,spa,latifi,12,2:00.966,1:58.056,
2021,12,2021_12,spa,sainz,13,2:01.184,1:58.137,
2021,12,2021_12,spa,alonso,14,2:01.653,1:58.205,
2021,12,2021_12,spa,stroll,15,2:01.597,1:58.231,
2021,12,2021_12,spa,giovinazzi,16,2:02.306,,
2021,12,2021_12,spa,tsunoda,17,2:02.413,,
2021,12,2021_12,spa,mick_schumacher,18,2:03.973,,
2021,12,2021_12,spa,raikkonen,19,2:04.452,,
2021,12,2021_12,spa,mazepin,20,2:04.939,,
2021,13,2021_13,zandvoort,max_verstappen,1,1:10.036,1:09.071,1:08.885
2021,13,2021_13,zandvoort,hamilton,2,1:10.114,1:09.726,1:08.923
2021,13,2021_13,zandvoort,bottas,3,1:10.219,1:09.769,1:09.222
2021,13,2021_13,zandvoort,gasly,4,1:10.274,1:09.541,1:09.478
2021,13,2021_13,zandvoort,leclerc,5,1:09.829,1:09.437,1:09.527
2021,13,2021_13,zandvoort,sainz,6,1:10.022,1:09.870,1:09.537
2021,13,2021_13,zandvoort,giovinazzi,7,1:10.050,1:10.033,1:09.590
2021,13,2021_13,zandvoort,ocon,8,1:10.179,1:09.919,1:09.933
2021,13,2021_13,zandvoort,alonso,9,1:10.435,1:10.020,1:09.956
2021,13,2021_13,zandvoort,ricciardo,10,1:10.255,1:09.865,1:10.166
2021,13,2021_13,zandvoort,russell,11,1:10.382,1:10.332,
2021,13,2021_13,zandvoort,stroll,12,1:10.438,1:10.367,
2021,13,2021_13,zandvoort,norris,13,1:10.489,1:10.406,
2021,13,2021_13,zandvoort,latifi,14,1:10.093,1:11.161,
2021,13,2021_13,zandvoort,tsunoda,15,1:10.462,1:11.314,
2021,13,2021_13,zandvoort,perez,16,1:10.530,,
2021,13,2021_13,zandvoort,vettel,17,1:10.731,,
2021,13,2021_13,zandvoort,kubica,18,1:11.301,,
2021,13,2021_13,zandvoort,mick_schumacher,19,1:11.387,,
2021,13,2021_13,zandvoort,mazepin,20,1:11.875,,
2021,14,2021_14,monza,bottas,1,1:20.685,1:20.032,1:19.555
2021,14,2021_14,monza,hamilton,2,1:20.543,1:19.936,1:19.651
2021,14,2021_14,monza,max_verstappen,3,1:21.035,1:20.229,1:19.966
2021,14,2021_14,monza,norris,4,1:20.916,1:20.059,1:19.989
2021,14,2021_14,monza,ricciardo,5,1:21.292,1:20.435,1:19.995
2021,14,2021_14,monza,gasly,6,1:21.440,1:20.556,1:20.260
2021,14,2021_14,monza,sainz,7,1:21.118,1:20.750,1:20.462
2021,14,2021_14,monza,leclerc,8,1:21.219,1:20.767,1:20.510
2021,14,2021_14,monza,perez,9,1:21.308,1:20.882,1:20.611
2021,14,2021_14,monza,giovinazzi,10,1:21.197,1:20.726,1:20.808
2021,14,2021_14,monza,vettel,11,1:21.394,1:20.913,
2021,14,2021_14,monza,stroll,12,1:21.415,1:21.020,
2021,14,2021_14,monza,alonso,13,1:21.487,1:21.069,
2021,14,2021_14,monza,ocon,14,1:21.500,1:21.103,
2021,14,2021_14,monza,russell,15,1:21.890,1:21.392,
2021,14,2021_14,monza,latifi,16,1:21.925,,
2021,14,2021_14,monza,tsunoda,17,1:21.973,,
2021,14,2021_14,monza,mick_schumacher,18,1:22.248,,
2021,14,2021_14,monza,kubica,19,1:22.530,,
2021,14,2021_14,monza,mazepin,20,1:22.716,,
2021,15,2021_15,sochi,norris,1,1:47.238,1:45.827,1:41.993
2021,15,2021_15,sochi,sainz,2,1:47.924,1:46.521,1:42.510
2021,15,2021_15,sochi,russell,3,1:48.303,1:46.435,1:42.983
2021,15,2021_15,sochi,hamilton,4,1:45.992,1:45.129,1:44.050
2021,15,2021_15,sochi,ricciardo,5,1:48.345,1:46.361,1:44.156
2021,15,2021_15,sochi,alonso,6,1:47.877,1:45.514,1:44.204
2021,15,2021_15,sochi,bottas,7,1:46.396,1:45.306,1:44.710
2021,15,2021_15,sochi,stroll,8,1:48.322,1:46.360,1:44.956
2021,15,2021_15,sochi,perez,9,1:46.455,1:45.834,1:45.337
2021,15,2021_15,sochi,ocon,10,1:48.099,1:46.070,1:45.865
2021,15,2021_15,sochi,vettel,11,1:47.205,1:46.573,
