season,position,driverId,points,wins,constructorId
2024,1,max_verstappen,437,9,red_bull
2024,2,norris,374,4,mclaren
2024,3,leclerc,356,3,ferrari
2024,4,piastri,292,2,mclaren
2024,5,sainz,290,2,ferrari
2024,6,russell,245,2,mercedes
2024,7,hamilton,223,2,mercedes
2024,8,perez,152,0,red_bull
2024,9,alonso,70,0,aston_martin
2024,10,gasly,42,0,alpine
2024,11,hulkenberg,41,0,haas
2024,12,tsunoda,30,0,rb
2024,13,stroll,24,0,aston_martin
2024,14,ocon,23,0,alpine
2024,15,kevin_magnussen,16,0,haas
2024,16,albon,12,0,williams
2024,17,ricciardo,12,0,rb
2024,18,bearman,7,0,ferrari
2024,19,colapinto,5,0,williams
2024,20,zhou,4,0,sauber
2024,21,lawson,4,0,rb
2024,22,bottas,0,0,sauber
2024,23,sargeant,0,0,williams
2024,24,doohan,0,0,alpine
