season,position,driverId,points,wins,constructorId
2018,1,hamilton,408,11,mercedes
2018,2,vettel,320,5,ferrari
2018,3,raikkonen,251,1,ferrari
2018,4,max_verstappen,249,2,red_bull
2018,5,bottas,247,0,mercedes
2018,6,ricciardo,170,2,red_bull
2018,7,hulkenberg,69,0,renault
2018,8,perez,62,0,force_india
2018,9,kevin_magnussen,56,0,haas
2018,10,sainz,53,0,renault
2018,11,alonso,50,0,mclaren
2018,12,ocon,49,0,force_india
2018,13,leclerc,39,0,sauber
2018,14,grosjean,37,0,haas
2018,15,gasly,29,0,toro_rosso
2018,16,vandoorne,12,0,mclaren
2018,17,ericsson,9,0,sauber
2018,18,stroll,6,0,williams
2018,19,brendon_hartley,4,0,toro_rosso
2018,20,sirotkin,1,0,williams
