season,position,driverId,points,wins,constructorId
2001,1,michael_schumacher,123,9,ferrari
2001,2,coulthard,65,2,mclaren
2001,3,barrichello,56,0,ferrari
2001,4,ralf_schumacher,49,3,williams
2001,5,hakkinen,37,2,mclaren
2001,6,montoya,31,1,williams
2001,7,villeneuve,12,0,bar
2001,8,heidfeld,12,0,sauber
2001,9,trulli,12,0,jordan
2001,10,raikkonen,9,0,sauber
2001,11,fisichella,8,0,benetton
2001,12,irvine,6,0,jaguar
2001,13,frentzen,6,0,jordan
2001,14,panis,5,0,bar
2001,15,alesi,5,0,prost
2001,16,rosa,3,0,jaguar
2001,17,button,2,0,benetton
2001,18,verstappen,1,0,arrows
2001,-,zonta,0,0,jordan
2001,-,burti,0,0,jaguar
2001,-,bernoldi,0,0,arrows
2001,-,marques,0,0,minardi
2001,-,alonso,0,0,minardi
2001,-,enge,0,0,prost
2001,-,mazzacane,0,0,prost
2001,-,yoong,0,0,minardi
