season,position,driverId,points,wins,constructorId
2009,1,button,95,6,brawn
2009,2,vettel,84,4,red_bull
2009,3,barrichello,77,2,brawn
2009,4,webber,69.5,2,red_bull
2009,5,hamilton,49,2,mclaren
2009,6,raikkonen,48,1,ferrari
2009,7,rosberg,34.5,0,williams
2009,8,trulli,32.5,0,toyota
2009,9,alonso,26,0,renault
2009,10,glock,24,0,toyota
2009,11,massa,22,0,ferrari
2009,12,kovalainen,22,0,mclaren
2009,13,heidfeld,19,0,bmw_sauber
2009,14,kubica,17,0,bmw_sauber
2009,15,fisichella,8,0,force_india
2009,16,buemi,6,0,toro_rosso
2009,17,sutil,5,0,force_india
2009,18,kobayashi,3,0,toyota
2009,19,bourdais,2,0,toro_rosso
2009,20,nakajima,0,0,williams
2009,21,piquet_jr,0,0,renault
2009,22,liuzzi,0,0,force_india
2009,23,grosjean,0,0,renault
2009,24,alguersuari,0,0,toro_rosso
2009,25,badoer,0,0,ferrari
