season,position,driverId,points,wins,constructorId
2008,1,hamilton,98,5,mclaren
2008,2,massa,97,6,ferrari
2008,3,raikkonen,75,2,ferrari
2008,4,kubica,75,1,bmw_sauber
2008,5,alonso,61,2,renault
2008,6,heidfeld,60,0,bmw_sauber
2008,7,kovalainen,53,1,mclaren
2008,8,vettel,35,1,toro_rosso
2008,9,trulli,31,0,toyota
2008,10,glock,25,0,toyota
2008,11,webber,21,0,red_bull
2008,12,piquet_jr,19,0,renault
2008,13,rosberg,17,0,williams
2008,14,barrichello,11,0,honda
2008,15,nakajima,9,0,williams
2008,16,coulthard,8,0,red_bull
2008,17,bourdais,4,0,toro_rosso
2008,18,button,3,0,honda
2008,19,fisichella,0,0,force_india
2008,20,sutil,0,0,force_india
2008,21,sato,0,0,super_aguri
2008,22,davidson,0,0,super_aguri
