season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2016-03-20,05:00:00Z
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2016-04-03,15:00:00Z
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2016-04-17,06:00:00Z
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2016-05-01,12:00:00Z
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2016-05-15,12:00:00Z
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2016-05-29,12:00:00Z
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2016-06-12,18:00:00Z
2016,8,European Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2016-06-19,13:00:00Z
2016,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2016-07-03,12:00:00Z
2016,10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2016-07-10,12:00:00Z
2016,11,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2016-07-24,12:00:00Z
2016,12,German Grand Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,2016-07-31,12:00:00Z
2016,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2016-08-28,12:00:00Z
2016,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2016-09-04,12:00:00Z
2016,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2016-09-18,12:00:00Z
2016,16,Malaysian Grand Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,2016-10-02,07:00:00Z
2016,17,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2016-10-09,05:00:00Z
2016,18,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2016-10-23,19:00:00Z
2016,19,Mexican Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2016-10-30,19:00:00Z
2016,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2016-11-13,16:00:00Z
2016,21,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2016-11-27,13:00:00Z
