season,position,driverId,points,wins,constructorId
2005,1,alonso,133,7,renault
2005,2,raikkonen,112,7,mclaren
2005,3,michael_schumacher,62,1,ferrari
2005,4,montoya,60,3,mclaren
2005,5,fisichella,58,1,renault
2005,6,ralf_schumacher,45,0,toyota
2005,7,trulli,43,0,toyota
2005,8,barrichello,38,0,ferrari
2005,9,button,37,0,bar
2005,10,webber,36,0,williams
2005,11,heidfeld,28,0,williams
2005,12,coulthard,24,0,red_bull
2005,13,massa,11,0,sauber
2005,14,villeneuve,9,0,sauber
2005,15,klien,9,0,red_bull
2005,16,monteiro,7,0,jordan
2005,17,wurz,6,0,mclaren
2005,18,karthikeyan,5,0,jordan
2005,19,albers,4,0,minardi
2005,20,rosa,4,0,mclaren
2005,21,friesacher,3,0,minardi
2005,22,pizzonia,2,0,williams
2005,23,sato,1,0,bar
2005,24,liuzzi,1,0,red_bull
2005,25,doornbos,0,0,minardi
2005,-,zonta,0,0,toyota
2005,-,davidson,0,0,bar
