season,position,driverId,points,wins,constructorId
2002,1,michael_schumacher,144,11,ferrari
2002,2,barrichello,77,4,ferrari
2002,3,montoya,50,0,williams
2002,4,ralf_schumacher,42,1,williams
2002,5,coulthard,41,1,mclaren
2002,6,raikkonen,24,0,mclaren
2002,7,button,14,0,renault
2002,8,trulli,9,0,renault
2002,9,irvine,8,0,jaguar
2002,10,heidfeld,7,0,sauber
2002,11,fisichella,7,0,jordan
2002,12,villeneuve,4,0,bar
2002,13,massa,4,0,sauber
2002,14,panis,3,0,bar
2002,15,sato,2,0,jordan
2002,16,webber,2,0,minardi
2002,17,salo,2,0,toyota
2002,18,frentzen,2,0,arrows
2002,19,mcnish,0,0,toyota
2002,20,yoong,0,0,minardi
2002,21,rosa,0,0,jaguar
2002,22,bernoldi,0,0,arrows
2002,-,davidson,0,0,minardi
