season,round,circuitId,driverId,constructorId,position,grid,points,laps,status,fastestLapRank
2023,1,bahrain,max_verstappen,red_bull,1,1,25,57,Finished,6
2023,1,bahrain,perez,red_bull,2,2,18,57,Finished,7
2023,1,bahrain,alonso,aston_martin,3,5,15,57,Finished,5
2023,1,bahrain,sainz,ferrari,4,4,12,57,Finished,14
2023,1,bahrain,hamilton,mercedes,5,7,10,57,Finished,10
2023,1,bahrain,stroll,aston_martin,6,8,8,57,Finished,9
2023,1,bahrain,russell,mercedes,7,6,6,57,Finished,17
2023,1,bahrain,bottas,alfa,8,12,4,57,Finished,18
2023,1,bahrain,gasly,alpine,9,20,2,57,Finished,2
2023,1,bahrain,albon,williams,10,15,1,57,Finished,15
2023,1,bahrain,tsunoda,alphatauri,11,14,0,57,Finished,12
2023,1,bahrain,sargeant,williams,12,16,0,56,Lapped,4
2023,1,bahrain,kevin_magnussen,haas,13,17,0,56,Lapped,8
2023,1,bahrain,de_vries,alphatauri,14,19,0,56,Lapped,19
2023,1,bahrain,hulkenberg,haas,15,10,0,56,Lapped,11
2023,1,bahrain,zhou,alfa,16,13,0,56,Lapped,1
2023,1,bahrain,norris,mclaren,17,11,0,55,Lapped,3
2023,1,bahrain,ocon,alpine,18,9,0,41,Retired,13
2023,1,bahrain,leclerc,ferrari,19,3,0,39,Retired,16
2023,1,bahrain,piastri,mclaren,20,18,0,13,Retired,20
2023,2,jeddah,perez,red_bull,1,1,25,50,Finished,2
2023,2,jeddah,max_verstappen,red_bull,2,15,19,50,Finished,1
2023,2,jeddah,alonso,aston_martin,3,2,15,50,Finished,3
2023,2,jeddah,russell,mercedes,4,3,12,50,Finished,4
2023,2,jeddah,hamilton,mercedes,5,7,10,50,Finished,6
2023,2,jeddah,sainz,ferrari,6,4,8,50,Finished,5
2023,2,jeddah,leclerc,ferrari,7,12,6,50,Finished,7
2023,2,jeddah,ocon,alpine,8,6,4,50,Finished,8
2023,2,jeddah,gasly,alpine,9,9,2,50,Finished,10
2023,2,jeddah,kevin_magnussen,haas,10,13,1,50,Finished,9
2023,2,jeddah,tsunoda,alphatauri,11,16,0,50,Finished,14
2023,2,jeddah,hulkenberg,haas,12,10,0,50,Finished,12
2023,2,jeddah,zhou,alfa,13,11,0,50,Finished,13
2023,2,jeddah,de_vries,alphatauri,14,18,0,50,Finished,11
2023,2,jeddah,piastri,mclaren,15,8,0,50,Finished,16
2023,2,jeddah,sargeant,williams,16,20,0,50,Finished,18
2023,2,jeddah,norris,mclaren,17,19,0,50,Finished,15
2023,2,jeddah,bottas,alfa,18,14,0,49,Lapped,17
2023,2,jeddah,albon,williams,19,17,0,27,Retired,20
2023,2,jeddah,stroll,aston_martin,20,5,0,16,Retired,19
2023,3,albert_park,max_verstappen,red_bull,1,1,25,58,Finished,2
2023,3,albert_park,hamilton,mercedes,2,3,18,58,Finished,5
2023,3,albert_park,alonso,aston_martin,3,4,15,58,Finished,4
