season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2009,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2009-03-29,06:00:00Z
2009,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,2009-04-05,09:00:00Z
2009,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2009-04-19,07:00:00Z
2009,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2009-04-26,12:00:00Z
2009,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2009-05-10,12:00:00Z
2009,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2009-05-24,12:00:00Z
2009,7,Turkish Grand Prix,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,2009-06-07,12:00:00Z
2009,8,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2009-06-21,12:00:00Z
2009,9,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,2009-07-12,12:00:00Z
2009,10,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2009-07-26,12:00:00Z
2009,11,European Grand Prix,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,2009-08-23,12:00:00Z
2009,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2009-08-30,12:00:00Z
2009,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2009-09-13,12:00:00Z
2009,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2009-09-27,12:00:00Z
2009,15,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2009-10-04,05:00:00Z
2009,16,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2009-10-18,16:00:00Z
2009,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2009-11-01,11:00:00Z
