season,round,circuitId,driverId,constructorId,position,grid,points,laps,status,fastestLapRank
2009,1,albert_park,button,brawn,1,1,10,58,Finished,3
2009,1,albert_park,barrichello,brawn,2,2,8,58,Finished,14
2009,1,albert_park,trulli,toyota,3,20,6,58,Finished,10
2009,1,albert_park,glock,toyota,4,19,5,58,Finished,6
2009,1,albert_park,alonso,renault,5,10,4,58,Finished,9
2009,1,albert_park,rosberg,williams,6,5,3,58,Finished,1
2009,1,albert_park,buemi,toro_rosso,7,13,2,58,Finished,16
2009,1,albert_park,bourdais,toro_rosso,8,17,1,58,Finished,17
2009,1,albert_park,sutil,force_india,9,16,0,58,Finished,11
2009,1,albert_park,heidfeld,bmw_sauber,10,9,0,58,Finished,5
2009,1,albert_park,fisichella,force_india,11,15,0,58,Finished,12
2009,1,albert_park,webber,red_bull,12,8,0,57,+1 Lap,8
2009,1,albert_park,vettel,red_bull,13,3,0,56,Collision,4
2009,1,albert_park,kubica,bmw_sauber,14,4,0,55,Collision,2
2009,1,albert_park,raikkonen,ferrari,15,7,0,55,Differential,7
2009,1,albert_park,massa,ferrari,16,6,0,45,Suspension,15
2009,1,albert_park,piquet_jr,renault,17,14,0,24,Spun off,19
2009,1,albert_park,nakajima,williams,18,11,0,17,Accident,18
2009,1,albert_park,kovalainen,mclaren,19,12,0,0,Collision,
2009,1,albert_park,hamilton,mclaren,20,18,0,58,Disqualified,13
2009,2,sepang,button,brawn,1,1,5,31,Finished,1
2009,2,sepang,heidfeld,bmw_sauber,2,10,4,31,Finished,10
2009,2,sepang,glock,toyota,3,3,3,31,Finished,16
2009,2,sepang,trulli,toyota,4,2,2.5,31,Finished,3
2009,2,sepang,barrichello,brawn,5,8,2,31,Finished,2
2009,2,sepang,webber,red_bull,6,5,1.5,31,Finished,5
2009,2,sepang,hamilton,mclaren,7,12,1,31,Finished,11
2009,2,sepang,rosberg,williams,8,4,0.5,31,Finished,4
2009,2,sepang,massa,ferrari,9,16,0,31,Finished,13
2009,2,sepang,bourdais,toro_rosso,10,15,0,31,Finished,12
2009,2,sepang,alonso,renault,11,9,0,31,+1 Lap,9
2009,2,sepang,nakajima,williams,12,11,0,31,+1 Lap,15
2009,2,sepang,piquet_jr,renault,13,17,0,31,+1 Lap,14
2009,2,sepang,raikkonen,ferrari,14,7,0,31,+1 Lap,7
2009,2,sepang,vettel,red_bull,15,13,0,30,Spun off,6
2009,2,sepang,buemi,toro_rosso,16,20,0,30,Spun off,8
2009,2,sepang,sutil,force_india,17,19,0,30,+1 Lap,18
2009,2,sepang,fisichella,force_india,18,18,0,29,Spun off,17
2009,2,sepang,kubica,bmw_sauber,19,6,0,1,Engine,
2009,2,sepang,kovalainen,mclaren,20,14,0,0,Spun off,
2009,3,shanghai,vettel,red_bull,1,1,10,56,Finished,2
2009,3,shanghai,webber,red_bull,2,3,8,56,Finished,4
2009,3,shanghai,button,brawn,3,5,6,56,Finished,6
2009,3,shanghai,barrichello,brawn,4,4,5,56,Finished,1
2009,3,shanghai,kovalainen,mclaren,5,12,4,56,Finished,10
2009,3,shanghai,hamilton,mclaren,6,9,3,56,Finished,12
2009,3,shanghai,glock,toyota,7,19,2,56,Finished,3
2009,3,shanghai,buemi,toro_rosso,8,10,1,56,Finished,11
2009,3,shanghai,alonso,renault,9,2,0,56,Finished,9
2009,3,shanghai,raikkonen,ferrari,10,8,0,56,Finished,15
2009,3,shanghai,bourdais,toro_rosso,11,15,0,56,Finished,5
2009,3,shanghai,heidfeld,bmw_sauber,12,11,0,56,Finished,7
2009,3,shanghai,kubica,bmw_sauber,13,17,0,56,Finished,14
2009,3,shanghai,fisichella,force_india,14,20,0,55,+1 Lap,18
2009,3,shanghai,rosberg,williams,15,7,0,55,+1 Lap,8
2009,3,shanghai,piquet_jr,renault,16,16,0,54,+2 Laps,16
